Bond name	ISIN	Nominal	Income	Last price	Duration	Best ask	Best bid	Coupon	Coupon's duration	Date of coupon	ACI	Repayment	Days to repayment	Volume	Type
КОБР-16	RU000A0ZZWR6	1000	8,02	0	84	99,96	99,965	19,5	92	13.03.2019	1,88	13.03.2019	84	0	ЦБ
КОБР-15	RU000A0ZZSH5	1000	8,2	99,965	56	99,97	99,965	19,31	92	13.02.2019	7,63	13.02.2019	56	258465101	ЦБ
КОБР-14	RU000A0ZZPG3	1000	7,81	0	28	99,992	100	19,12	92	16.01.2019	13,38	16.01.2019	28	0	ЦБ
BCS 12/21	XS1903464391	100000	0	100	0	100	100	0	373	01.12.2019	0	01.12.2021	1078	700000	корп.обл.
РСБ ХМАО01	RU000A0ZZYS0	1000	0	0	0	0	0	150,14	548	19.06.2020	0	17.06.2031	4563	0	корп.обл.
ВТБ Б-1-10	RU000A0ZZYR2	1000	7,87	100,7	520	101,5	100	20,32	91	20.03.2019	0	17.06.2020	546	584535	бирж.обл.
ОАЭ  БО-П2	RU000A0ZZYP6	1000	14,59	100,15	1023	111	100,1	11,3	30	17.01.2019	0,38	25.02.2023	1529	529627	бирж.обл.
Калсб 1P01	RU000A0ZZYL5	1000	12,55	102	938	103,13	101	64,82	182	17.06.2019	0,71	11.12.2023	1818	171928	бирж.обл.
АС ФИН1Р1	RU000A0ZZYF7	1000	0	0	0	0	0	29,59	90	18.03.2019	0,33	22.11.2023	1799	0	бирж.обл.
СберБ Б47R	RU000A0ZZY83	1000	0	0	0	0	0	0	0		0	28.06.2022	1287	0	бирж.обл.
СолЛизБО03	RU000A0ZZY42	1000	13,59	100,05	345	100,05	100,05	32,41	91	18.03.2019	0,71	11.12.2023	1818	5003	бирж.обл.
КировОбл01	RU000A0ZZXZ7	1000	0	0	0	60	0	21,19	91	15.03.2019	1,16	05.12.2025	2543	0	суб.РФ
ВсИнстрБО1	RU000A0ZZXT0	1000	10,16	102,5	342	103,5	102,5	31,16	91	14.03.2019	2,05	09.12.2021	1086	195209	бирж.обл.
СберБ Б50R	RU000A0ZZXS2	1000	0	0	0	100	0	43,88	182	13.06.2019	1,45	07.03.2024	1905	0	бирж.обл.
КЕБ БО1Р02	RU000A0ZZXP8	1000	10,32	100,39	348	102,46	100,39	52,36	182	12.06.2019	2,01	09.12.2020	721	2622874	бирж.обл.
СберБ Б43R	RU000A0ZZXN3	1000	0	0	0	0	0	0	0		0	27.12.2019	373	0	бирж.обл.
ГПБ001P03P	RU000A0ZZXM5	1000	8,8	101	1120	101,5	101	44,63	182	13.06.2019	1,47	13.06.2022	1272	11957913	бирж.обл.
РЖД 1Р-11R	RU000A0ZZXL7	1000	0	0	0	99,9	0	36,68	153	14.05.2019	1,68	10.05.2022	1238	0	бирж.обл.
ГПБ002P-03	RU000A0ZZXJ1	1000	0	0	0	0	0	0	0		0	26.06.2020	555	0	бирж.обл.
ИНГРАД1P2	RU000A0ZZXD4	1000	0	0	0	99	0	49,86	182	11.06.2019	2,19	28.11.2028	3632	0	бирж.обл.
ПР-Лиз 1P2	RU000A0ZZX35	1000	13,09	100	497	100	100	31,16	91	11.03.2019	3,08	06.12.2021	1083	125000	бирж.обл.
РЖД 1Р-10R	RU000A0ZZX19	1000	8,94	100	1113	102	100	43,63	182	07.06.2019	2,88	03.06.2022	1262	36745000	бирж.обл.
СберБ Б52R	RU000A0ZZWZ9	1000	8,23	101	1031	103,02	98,72	56,02	242	12.08.2019	1,39	07.02.2022	1146	15834964	бирж.обл.
СберБ Б45R	RU000A0ZZWY2	1000	0	0	0	61	0	26,09	1287	16.06.2022	0	16.06.2022	1275	0	бирж.обл.
СберБ Б44R	RU000A0ZZWX4	1000	0	0	0	61	0	47,6	1287	16.06.2022	0	16.06.2022	1275	0	бирж.обл.
КВС об. 01	RU000A0ZZWQ8	1000	0	0	0	0	0	110	365	06.12.2019	3,92	02.12.2033	5462	0	корп.обл.
ОАЭ  БО-П1	RU000A0ZZWJ3	1000	14,59	100,15	1009	111	99,98	11,3	30	04.01.2019	5,27	12.02.2023	1516	8751654	бирж.обл.
РоялКапБО2	RU000A0ZZWG9	1000	17,06	100,8	327	102,81	100,79	42,38	91	05.03.2019	6,99	01.12.2020	713	401174	бирж.обл.
ИА БСПБ2 1	RU000A0ZZW77	1000	9,16	0	81	100	100,1	24,85	97	10.03.2019	4,1	10.12.2045	9853	0	корп.обл.
СберБ Б42R	RU000A0ZZW69	1000	0	0	0	0	0	0	0		0	10.01.2022	1118	0	бирж.обл.
СберБ Б41R	RU000A0ZZW51	1000	0	0	0	61,1	0	0,2	728	15.12.2020	0	15.12.2020	727	0	бирж.обл.
СФО ИК Ф01	RU000A0ZZW44	1000	10,43	100	29	100	100	12,33	45	17.01.2019	4,38	29.11.2021	1076	1000000	корп.обл.
РСХБ БО-7Р	RU000A0ZZVQ0	1000	0	0	0	90	0	50,05	174	22.05.2019	5,75	22.11.2038	7278	0	бирж.обл.
ИА ДОМ 6P2	RU000A0ZZV86	1000	-0,33	102	71	102	102	25,62	94	28.02.2019	6,27	28.05.2048	10753	205867620	корп.обл.
Роделен1Р1	RU000A0ZZV52	1000	13,16	100,1	471	100,15	100,08	10,27	30	26.12.2018	7,88	10.11.2021	1057	1241666	бирж.обл.
ГТЛК 1P-12	RU000A0ZZV11	1000	9,63	101,5	934	101,7	101,5	24,68	91	22.02.2019	7,05	04.11.2033	5434	8524923	бирж.обл.
ГрузЦ БОП2	RU000A0ZZV03	10000	14,04	102,99	603	102,99	100,85	123,29	30	23.12.2018	106,85	12.11.2020	694	92279	бирж.обл.
ХКФинБ1P2	RU000A0ZZUZ3	1000	10,38	0	931	99	0	24,93	91	22.02.2019	7,12	19.11.2021	1066	0	бирж.обл.
СберБ Б39R	RU000A0ZZUX8	1000	0	0	0	94,9	0	47,6	1287	01.06.2022	0	01.06.2022	1260	0	бирж.обл.
НижгорОб13	RU000A0ZZUT6	1000	8,91	100,15	1064	100,15	100,05	21,64	91	21.02.2019	6,42	24.05.2024	1983	55083	суб.РФ
МСБЛиз2P01	RU000A0ZZUR0	1000	14,57	100,09	444	111	100,05	11,3	30	21.12.2018	10,55	09.05.2021	872	2255434	бирж.обл.
БанкГПБ1Р2	RU000A0ZZUL3	1000	0	0	0	90	0	44,38	181	20.05.2019	7,11	20.11.2023	1797	0	бирж.обл.
РН БАНК1Р3	RU000A0ZZUK5	1000	9,03	101,05	955	101,05	101,05	46,38	183	22.05.2019	7,35	22.11.2021	1069	3478141	бирж.обл.
СберБ Б38R	RU000A0ZZTX0	1000	0	0	0	90,5	0	0,31	1116	06.12.2021	0	06.12.2021	1083	0	бирж.обл.
СберБ Б28R	RU000A0ZZTW2	1000	0	0	1097	98,43	103	0,31	1116	20.12.2021	0	20.12.2021	1097	0	бирж.обл.
ФПК 1P-05	RU000A0ZZTL5	1000	7,71	0	323	100,01	101	41,88	182	16.05.2019	7,82	02.11.2028	3606	0	бирж.обл.
ТКХ БО-П02	RU000A0ZZTK7	1000	0	0	0	0	0	47,37	182	16.05.2019	8,85	02.11.2028	3606	0	бирж.обл.
УрКаПБО5P	RU000A0ZZT80	1000	9,64	99,7	942	99,98	99,52	46,37	182	14.05.2019	9,17	09.11.2021	1056	22092716	бирж.обл.
СберБ Б40R	RU000A0ZZT15	1000	0	0	0	99,9	101	0,05	182	24.05.2019	0	24.05.2019	156	0	бирж.обл.
КамчКрай01	RU000A0ZZSW4	1000	8,83	0	1474	101,5	101,9	24,05	97	18.02.2019	8,93	11.11.2024	2154	0	суб.РФ
ВЭБ1P-K113	RU000A0ZZST0	1000	0	0	0	0	0	0	0		0	19.12.2018	0	0	бирж.обл.
СберБ Б37R	RU000A0ZZSK9	1000	0	0	0	95,9	0	0,35	1287	18.05.2022	0	18.05.2022	1246	0	бирж.обл.
СберБ Б36R	RU000A0ZZSJ1	1000	0	0	0	94,1	0	47,6	1287	18.05.2022	0	18.05.2022	1246	0	бирж.обл.
ДерПлат1P3	RU000A0ZZS73	1000	10,17	0	0	65	0	53,97	197	23.05.2019	11,51	18.05.2023	1611	0	бирж.обл.
